Territory1,taxonomicgroup,kingdom,phylum,class,order,family,genus,species,n_obs,n_spp,idx_obis_wdpa
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,Ampelisca schellenbergi,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,NA,13,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,NA,NA,3,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Amphilochidae,Gitana,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe hirsutimanus,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Autonoe,NA,3,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Argissidae,NA,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Bateidae,Batea,Batea carinata,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Bateidae,Batea,Batea schotti,4,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Deutella,Deutella incerta,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Hemiproto,Hemiproto wigleyi,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Metaprotella,NA,3,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,NA,NA,4,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Colomastigidae,Colomastix,Colomastix pusilla,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Colomastigidae,Colomastix,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,NA,NA,15,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,Cyphocaris richardi,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Eriopisidae,Eriopisa,NA,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,NA,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,NA,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,NA,NA,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,NA,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Caribboecetes,Caribboecetes justi,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Cerapus,Cerapus thomasi,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ericthonius,NA,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Anamixis,Anamixis cavatura,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Anamixis,Anamixis hanseni,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae,Idunella,NA,5,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae,Liljeborgia,NA,3,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae,NA,NA,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Lysianassa,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,NA,NA,4,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Maeridae,Bathyceradocus,Bathyceradocus stephenseni,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Maeridae,Elasmopus,Elasmopus thomasi,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Maeridae,Maera,NA,4,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,NA,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Monoculodes,NA,4,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Synchelidium,NA,3,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Westwoodilla,NA,3,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,NA,NA,3,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Photidae,Gammaropsis,NA,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Photidae,Photis,NA,4,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpinia,NA,4,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Heterophoxus,NA,3,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Paraphoxus,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Proharpinia,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,NA,NA,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Phronimidae,Phronima,Phronima atlantica,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Phronimidae,Phronima,Phronima colletti,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Phronimidae,NA,NA,8,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Platyischnopidae,Eudevenopus,NA,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Platyischnopidae,Tiburonella,NA,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Platyischnopidae,NA,NA,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Podoceridae,NA,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,Nasageneia,Nasageneia comisariensis,3,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Sebidae,Seba,Seba robusta,2,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,Stenothoe,Stenothoe valida,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Synopiidae,Metatiron,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,Synopiidae,NA,NA,1,1,0.5009252259134761
Colombia,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,5,2,0.5009252259134761
Colombia,Ascidiacea,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Abramites,Abramites eques,16,5,0.5009252259134761
Colombia,Ascidiacea,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,Didemnum candidum,2,1,0.5009252259134761
Colombia,Ascidiacea,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,NA,5,1,0.5009252259134761
Colombia,Ascidiacea,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,Eudistoma olivaceum,1,1,0.5009252259134761
Colombia,Ascidiacea,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Cnemidocarpa,Cnemidocarpa areolata,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Abramites,Abramites eques,3,3,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,NA,NA,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius wilsonia,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus atricilla,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris melanotos,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,3,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa semipalmatus,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Charadriiformes,Sternidae,Onychoprion,Onychoprion fuscatus,2,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Charadriiformes,Sternidae,Sterna,Sterna maxima,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Egretta,Egretta thula,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Nycticorax,Nycticorax nycticorax,2,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,Plegadis,Plegadis falcinellus,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Pandion,Pandion haliaetus,2,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica,2,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Passeriformes,Parulidae,Dendroica,NA,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Passeriformes,Parulidae,Protonotaria,Protonotaria citrea,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,NA,NA,2,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus occidentalis,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Pelecaniformes,Sulidae,Sula,Sula sula,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Pelecaniformes,Sulidae,NA,NA,1,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma leucorhoa,4,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus lherminieri,8,1,0.5009252259134761
Colombia,Aves,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,NA,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Abramites,Abramites eques,132,30,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Adapedonta,Solenidae,Solen,Solen rosewateri,8,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Adapedonta,Solenidae,Solen,Solen tairona,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Adapedonta,Solenidae,Solen,NA,3,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Adapedonta,Solenidae,Solena,Solena obliqua,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Adapedonta,Solenidae,NA,NA,3,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Acar,Acar gradata,6,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Acar,Acar rostae,3,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara (Rasia) formosa,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara adamsi,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara aequatorialis,3,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara brasiliana,3,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara chemnitzi,17,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara concinna,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara notabilis,18,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara nux,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara secernenda,23,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara tuberculosa,7,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,NA,18,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Arca,Arca imbricata,8,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Arca,Arca mutabilis,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Arca,Arca pacifica,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Arca,Arca zebra,65,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Arca,NA,3,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Barbatia,Barbatia candida,43,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Barbatia,Barbatia domingensis,10,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Barbatia,Barbatia lurida,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Barbatia,Barbatia reeveana,9,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Barbatia,NA,9,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Bathyarca,Bathyarca glomerula,10,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Fugleria,Fugleria illota,3,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Fugleria,Fugleria tenera,8,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Larkinia,Larkinia grandis,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Lunarca,Lunarca ovalis,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,NA,NA,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Glycymerididae,Glycymeris,Glycymeris decussata,6,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Glycymerididae,Glycymeris,Glycymeris undata,7,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Glycymerididae,Glycymeris,NA,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Glycymerididae,Tucetona,Tucetona multicostata,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Glycymerididae,Tucetona,Tucetona pectinata,33,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Glycymerididae,Tucetona,Tucetona strigilata,6,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Glycymerididae,NA,NA,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Limopsidae,Limopsis,Limopsis dalli,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Limopsidae,Limopsis,Limopsis sulcata,62,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Limopsidae,Limopsis,NA,3,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Limopsidae,NA,NA,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Noetiidae,Arcopsis,Arcopsis adamsi,10,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Noetiidae,Arcopsis,Arcopsis solida,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Noetiidae,Noetia,Noetia reversa,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Noetiidae,Sheldonella,Sheldonella bisulcata,5,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Arcoida,Philobryidae,Cratis,Cratis antillensis,11,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acrosterigma,Acrosterigma magnum,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acrosterigma,Acrosterigma pristipleura,7,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Americardia,Americardia biangulata,5,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Americardia,Americardia media,9,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Americardia,Americardia planicostata,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Dallocardia,Dallocardia muricata,36,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Dallocardia,Dallocardia senticosa,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Fulvia,Fulvia (Fulvia) laevigata,23,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Fulvia,Fulvia laevigata,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Laevicardium,Laevicardium pictum,40,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Laevicardium,Laevicardium substriatum,8,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Laevicardium,Laevicardium sybariticum,55,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Laevicardium,NA,22,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Microcardium,Microcardium pazianum,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Microcardium,Microcardium peramabile,26,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Microcardium,Microcardium tinctum,70,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Nemocardium,NA,3,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Papyridea,Papyridea aspersa,9,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Papyridea,Papyridea semisulcata,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Papyridea,Papyridea soleniformis,19,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Papyridea,NA,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Trachycardium,Trachycardium consors,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Trachycardium,Trachycardium egmontianum,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Trachycardium,Trachycardium isocardia,16,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Trachycardium,NA,11,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Trigoniocardia,Trigoniocardia antillarum,39,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,NA,NA,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,Donax asper,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,Donax assimilis,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,Donax carinatus,5,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,Donax denticulatus,5,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,Donax dentifer,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,Donax striatus,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,Donax vellicatus,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,NA,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Iphigenia,Iphigenia altior,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Iphigenia,Iphigenia brasiliensis,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Asaphis,Asaphis deflorata,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari,Gari helenae,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari,Gari panamensis,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari,NA,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Heterodonax,Heterodonax bimaculatus,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Psammotella,Psammotella cruenta,3,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Sanguinolaria,Sanguinolaria sanguinolenta,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Sanguinolaria,Sanguinolaria tellinoides,8,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Sanguinolaria,NA,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,NA,NA,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra aequalis,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra lioica,5,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra longicallus,85,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Cumingia,Cumingia lamellosa,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Cumingia,NA,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Ervilia,Ervilia nitens,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Ervilia,NA,1,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Semele,Semele bellastriata,7,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Semele,Semele flavescens,2,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Semele,Semele formosa,4,1,0.5009252259134761
Colombia,Bivalvia,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Semele,Semele pallida,2,1,0.5009252259134761
